source_id,nombre,nivel,dominio,categoria,equipamiento,tipo_wod,intensidad,duracion_seg,descanso_seg,escalamiento,notas,como_hacerlo,consejos,errores_comunes,alias,featured,supports_strength_block,counts_as_movement,wod_types,time_domain,pairing_tags,avoid_pairing_with,is_benchmark,rx_carga_sugerida,synonyms,gif_url,how_to_status,media_status
29,Buenos días con banda,Principiante,Accesorios,Hip Hinge,Banda,EMOM,RPE 6,30,60,Sin banda,Enseña patrón de bisagra,"Banda bajo los pies y en la nuca, bisagra de cadera con espalda neutra y vuelve extendiendo glúteo.",,,,0,0,1,"{""EMOM"",""For Time"",""AMRAP""}",medio,hinge,,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0044.gif,present_live_2026_07_22,existing_unverified
30,Dominadas escapulares,Principiante,Accesorios,Pull,Pull-up Bar,EMOM,RPE 7,30,90,Band assisted,Activación de dorsales y escápula,"Colgado con los brazos rectos, baja los hombros y aprieta escápulas sin flexionar los codos.",,,,0,0,1,"{""EMOM"",""For Time"",""AMRAP""}",medio,"pull,grip",,0,,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Scapular_Pull-Up/0.jpg,present_live_2026_07_22,existing_unverified
31,Dominadas estrictas,Intermedio,Gymnastic,Pull,Pull-up Bar,AMRAP,RPE 8,30,90,Band assisted,"Kipping permitido en WODs, strict para fuerza","Sin balanceo, tira hasta pasar la barbilla la barra y baja a brazos extendidos.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"pull,vertical,grip",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/3293.gif,present_live_2026_07_22,existing_unverified
32,Dominadas pecho a barra,Intermedio,Gymnastic,Pull,Pull-up Bar,For Time,RPE 8,30,90,Regular pull-ups,"Pecho toca barra, explosivo","Tira hasta tocar la barra con el pecho, usando kipping coordinado de cadera.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"pull,vertical,grip",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/3293.gif,present_live_2026_07_22,existing_unverified
33,Flexiones con despegue de manos,Intermedio,Gymnastic,Push,Ninguno,AMRAP,RPE 7,30,60,Regular push-ups,"Pecho al suelo, manos despegan",Flexión tocando el suelo con el pecho y despegando las manos antes de empujar.,,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"push,horizontal,explosivo",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/1273.gif,present_live_2026_07_22,existing_unverified
34,"Saltos a cajón (24""/20"")",Intermedio,Gymnastic,Legs,"Box 24-20""",For Time,RPE 7,30,60,Box más baja,Extensión completa de cadera arriba,"Salta con ambos pies al cajón, cae en cuclillas y extiende la cadera arriba.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",variable,"legs,explosivo",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/1374.gif,present_live_2026_07_22,existing_unverified
35,Burpees (RX),Intermedio,Gymnastic,Full Body,Ninguno,For Time,RPE 8,30,45,Step-back,"Pecho al suelo, salto con clap arriba","Pecho y muslos al suelo, sube y da un salto con palmada arriba en cada repetición.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",variable,"push,legs",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/1160.gif,present_live_2026_07_22,existing_unverified
36,Pies a barra,Intermedio,Gymnastic,Core,Pull-up Bar,AMRAP,RPE 8,30,90,Knees-to-elbows,"Kipping hollow-arch, dedos tocan barra","Colgado, balancea y lleva las puntas de los pies a la barra con el core.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"core,grip","grip,core",0,,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Hanging_Pike/0.jpg,present_live_2026_07_22,existing_unverified
37,Fondos (anillas/paralelas),Intermedio,Gymnastic,Push,Rings/Paralelas,EMOM,RPE 8,30,90,Band assisted,"Shoulders abajo de codos, lockout completo","En apoyo, baja hasta que el hombro pase el codo y empuja a bloqueo.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,push,,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0677.gif,present_live_2026_07_22,existing_unverified
38,Sentadilla a una pierna (Pistol),Intermedio,Gymnastic,Legs,Ninguno,EMOM,RPE 8,30,90,Box pistols,"Unilateral, balance y fuerza","A una pierna, baja controlando con la otra extendida al frente y sube sin apoyo.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"squat,legs",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0544.gif,present_live_2026_07_22,existing_unverified
39,Abdominales en V,Intermedio,Gymnastic,Core,Ninguno,AMRAP,RPE 7,30,45,Sit-ups,Manos y pies se juntan arriba,"Tumbado, sube tronco y piernas rectas a la vez tocando manos con pies formando una V.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,core,,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0456.gif,present_live_2026_07_22,existing_unverified
40,Aguante en pino (pared),Intermedio,Gymnastic,Press,Pared,EMOM,RPE 8,30,120,Pike position,Desarrollo de fuerza overhead y balance,"Sube a pino apoyando los talones en la pared, cuerpo alineado y hombros activos.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"push,vertical,shoulders",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/3302.gif,present_live_2026_07_22,existing_unverified
41,Rodillas a codos,Intermedio,Gymnastic,Core,Pull-up Bar,AMRAP,RPE 7,30,60,Hanging knee raises,Progresión a toes-to-bar,"Colgado, lleva las rodillas hacia los codos con control y baja sin balancearte.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"core,grip",,0,,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Hanging_Leg_Raise/0.jpg,present_live_2026_07_22,existing_unverified
42,Burpee salto sobre cajón,Intermedio,Gymnastic,Full Body,Box,For Time,RPE 8,30,60,Step-overs,"Saltar sobre box, no subir",Burpee y salto por encima del cajón cayendo al otro lado en cada repetición.,,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",variable,"push,legs,explosivo",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/1374.gif,present_live_2026_07_22,existing_unverified
43,Thrusters (43/30 kg),Intermedio,Weightlifting,Full Body,Barra,For Time,60-70% 1RM,30,90,Peso reducido,Front squat + push press en un movimiento,"Front squat y, sin pausa, empuja la barra sobre la cabeza en un solo movimiento.",,,,0,0,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",variable,"squat,push","squat,push",0,43/30 kg,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0550.gif,present_live_2026_07_22,existing_unverified
44,Power Clean,Intermedio,Weightlifting,Olympic,Barra,EMOM,65-75% 1RM,30,120,Hang power clean,"Recepción en partial squat, explosivo",Tira de la barra y recíbela al hombro por encima de media sentadilla con codos rápidos.,,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"hinge,pull,explosivo",,0,65-75% 1RM,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0648.gif,present_live_2026_07_22,existing_unverified
45,Power Snatch desde colgado,Intermedio,Weightlifting,Olympic,Barra,EMOM,60-70% 1RM,30,120,PVC,"Desde encima de rodillas, ancho de agarre snatch","Desde colgado, arranque de potencia a brazos extendidos sin llegar a sentadilla.",,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"hinge,pull,explosivo",,0,60-70% 1RM,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Hang_Snatch/0.jpg,present_live_2026_07_22,existing_unverified
46,Peso muerto (102/70 kg),Intermedio,Weightlifting,Pull,Barra,Strength,70-80% 1RM,30,180,Peso reducido,"Setup perfecto, neutral spine","Espalda neutra, empuja el suelo y extiende cadera y rodillas con la barra pegada.",,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"hinge,pull","hinge,pull",0,102/70 kg,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0032.gif,present_live_2026_07_22,existing_unverified
47,Sentadilla sobre cabeza,Intermedio,Weightlifting,Squat,Barra,Strength,50-60% 1RM,30,120,PVC,"Movilidad extrema, balance overhead","Barra bloqueada arriba en agarre ancho, baja a sentadilla profunda manteniendo el torso vertical.",,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",medio,"squat,shoulders",,0,50-60% 1RM,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0069.gif,present_live_2026_07_22,existing_unverified
48,Peso muerto sumo + jalón alto (34/25 kg),Intermedio,Weightlifting,Pull,Barra,AMRAP,50-60% 1RM,30,60,Peso reducido,"Stance ancho, codos altos y afuera",Peso muerto sumo y tira alto llevando los codos por encima hasta la clavícula.,,,,0,0,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",medio,"hinge,pull","hinge,pull",0,34/25 kg,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/ /0.jpg,present_live_2026_07_22,existing_unverified
49,Lanzamientos a pared (9/6 kg),Intermedio,Weightlifting,Full Body,Med Ball,AMRAP,RPE 8,30,45,Peso ligero,"10ft target, squat profundo","Sentadilla profunda y lanza el balón al objetivo alto, recíbelo y encadena.",,,,0,0,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",variable,"squat,push","squat,push",0,9/6 kg,,,present_live_2026_07_22,missing
50,"Balanceo con kettlebell (americano, 24/16 kg)",Intermedio,Weightlifting,Hip Hinge,Kettlebell,AMRAP,RPE 7,30,60,Russian swings,"Overhead completo, explosivo",Bisagra de cadera y proyecta la kettlebell hasta encima de la cabeza con el impulso de cadera.,,,,0,0,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",variable,"hinge,explosivo",hinge,0,24/16 kg,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0549.gif,present_live_2026_07_22,existing_unverified
51,Snatch con mancuerna,Intermedio,Weightlifting,Olympic,Mancuerna,For Time,RPE 7,30,60,Peso ligero,"Unilateral, desde suelo a overhead","De un tirón lleva la mancuerna del suelo a brazo extendido sobre la cabeza, alternando mano.",,,,0,0,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",medio,"hinge,pull,explosivo",,0,,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/ /0.jpg,present_live_2026_07_22,existing_unverified
52,Clean & Jerk,Intermedio,Weightlifting,Olympic,Barra,EMOM,65-75% 1RM,30,150,Power clean + push press,Movimiento completo olímpico,Cargada al hombro y jerk sobre la cabeza; extensión de cadera y recepción firme.,,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"hinge,push,explosivo",,0,65-75% 1RM,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Clean_and_Jerk/0.jpg,present_live_2026_07_22,existing_unverified
53,Sentadillas frontales (61/43 kg),Intermedio,Weightlifting,Squat,Barra,Strength,65-75% 1RM,30,120,Peso reducido,"Torso vertical, codos altos","Barra en rack frontal, codos altos, baja a sentadilla profunda y sube con el torso erguido.",,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"squat,legs",,0,61/43 kg,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0042.gif,present_live_2026_07_22,existing_unverified
54,Push Jerk,Intermedio,Weightlifting,Press,Barra,EMOM,70-80% 1RM,30,120,Push press,"Dip-drive-press, pies en paralelo, lockout overhead",Dip de piernas y empuje explosivo metiéndote bajo la barra con los pies fijos.,,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"push,vertical,explosivo","push,vertical",0,70-80% 1RM,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Power_Jerk/0.jpg,present_live_2026_07_22,existing_unverified
55,Sentadillas traseras (84/61 kg),Intermedio,Weightlifting,Squat,Barra,Strength,70-80% 1RM,30,150,Peso reducido,"Profundidad completa, barra alta o baja","Barra en la espalda alta, baja la cadera bajo la rodilla y sube extendiendo cadera y rodillas.",,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"squat,legs",,0,84/61 kg,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/ /0.jpg,present_live_2026_07_22,existing_unverified
56,Clean en sentadilla desde colgado,Intermedio,Weightlifting,Olympic,Barra,EMOM,65-75% 1RM,30,120,Hang power clean,"Desde rodillas, recepción en squat profundo","Desde colgado sobre la rodilla, recibe la barra en sentadilla al hombro.",,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"hinge,squat,explosivo",,0,65-75% 1RM,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0648.gif,present_live_2026_07_22,existing_unverified
57,"Remo (ritmo moderado, 500m)",Intermedio,Monostructural,Cardio,Rower,For Time,RPE 7-8,120,90,Distancia reducida,"Split <2:00/500m, técnica consistente","Ritmo moderado, secuencia piernas-cadera-brazos y respiración constante.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"mono,pull",,0,,,,present_live_2026_07_22,missing
58,Assault Bike (20/15 cal),Intermedio,Monostructural,Cardio,Assault Bike,For Time,RPE 8,60,90,Calorías reducidas,"All-out effort, brazos y piernas",Sprint corto coordinando brazos y piernas hasta las calorías objetivo.,,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"mono,legs",,0,,,,present_live_2026_07_22,missing
59,Carrera (400m-800m),Intermedio,Monostructural,Cardio,Ninguno,For Time,RPE 7-8,180,120,Distancia reducida,Pace de 7-9 min/mi,"Ritmo fuerte y sostenido, con zancada eficiente y brazos relajados.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"mono,legs",,0,,,,present_live_2026_07_22,missing
60,Doble salto a la comba,Intermedio,Monostructural,Cardio,Jump Rope,AMRAP,RPE 7,60,45,Singles,Cuerda pasa 2 veces bajo pies por salto,"Salta y pasa la comba dos veces por salto con giro de muñeca, cuerpo firme.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",variable,"mono,legs",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/2612.gif,present_live_2026_07_22,existing_unverified
