canonical_id,name,aliases,entity_type,domain,category,pattern,equipment,min_level,skill_prerequisites,stimulus,time_domains,scaling_rule,technique_set,cues_set,error_set,contra_set,regressions,progressions,substitutions,pairing_tags,avoid_pairing,strength_block,benchmark_relation,media_status
hollow_hold,Hollow hold,hollow body hold,movement,accessory,core,brace,none,beginner,brace_1,isometric,short,lever_or_seconds,HOLLOW,BRACE,BRACE,LUMBAR,dead_bug,hollow_rock,front_plank,core,isometric_core,yes,none,existing_unverified
superman_hold,Superman hold,prone arch hold,movement,accessory,core,spinal_extension,none,beginner,brace_1,isometric,short,limb_lever_or_seconds,ARCH,BRACE,BRACE,LUMBAR,bird_dog,superman_hold,glute_bridge,core;posterior,lumbar_high,no,none,existing_unverified
glute_bridge,Glute bridge,puente gluteo,movement,accessory,hinge,hip_extension,none_or_band,beginner,hinge_1,posterior_accessory,short,reps_load_hold,GLUTE_BRIDGE,HINGE,HINGE,LUMBAR_HAMSTRING,short_range_bridge,weighted_bridge,band_good_morning,hinge;accessory,heavy_hinge,yes,none,existing_unverified
band_shoulder_mobility,Band shoulder mobility,band shoulder opening,drill,mobility,mobility,shoulder_range,band,beginner,pain_free_range,mobility,warmup_only,range_tension,SHOULDER_MOBILITY,PRESS,PRESS,SHOULDER_WRIST,unloaded_range,controlled_dislocate,thoracic_mobility,mobility;shoulder,high_press,no,none,media_missing
dead_hang,Dead hang,active passive hang,movement,accessory,grip,vertical_pull,bar,beginner,shoulder_tolerance,isometric_grip,short,assistance_or_seconds,DEAD_HANG,PULL,PULL,UPPER_LIMB,feet_assisted_hang,active_hang,farmer_carry,grip;pull,high_grip,no,none,existing_unverified
band_good_morning,Band good morning,good morning banda,movement,accessory,hinge,hinge,band,beginner,hinge_1,hinge_skill,short,tension_range,GOOD_MORNING,HINGE,HINGE,LUMBAR_HAMSTRING,dowel_hinge,romanian_deadlift,glute_bridge,hinge;skill,heavy_hinge,yes,none,existing_unverified
scapular_pull_up,Scapular pull-up,scap pull-up,progression,gymnastics,pull,vertical_pull,bar,beginner,dead_hang,scapular_control,short,assistance_or_reps,SCAP_PULL,PULL,PULL,UPPER_LIMB,band_scap_pull,strict_pull_up,ring_row,pull;skill,high_grip,no,none,existing_unverified
strict_pull_up,Strict pull-up,strict pullup;dominada estricta,movement,gymnastics,pull,vertical_pull,bar,intermediate,dead_hang;scapular_pull_up,strict_pull,short;medium,band_or_reps,STRICT_PULL,PULL,PULL,UPPER_LIMB,band_pull_up,chest_to_bar_pull_up,ring_row,pull;grip,high_grip,yes,none,existing_unverified
chest_to_bar_pull_up,Chest-to-bar pull-up,c2b pull-up,movement,gymnastics,pull,vertical_pull,bar,intermediate,5_strict_pull_up;kipping_permission,dynamic_pull,short;medium,strict_or_band_or_reps,C2B,PULL,PULL,UPPER_LIMB,strict_pull_up,bar_muscle_up,ring_row,pull;grip;dynamic,high_grip,no,none,existing_unverified
hand_release_push_up,Hand-release push-up,hr push-up,movement,gymnastics,push,horizontal_push,none,intermediate,10_push_up,cyclical_push,short;medium,height_or_reps,HR_PUSH,PUSH,PUSH,WRIST_SHOULDER,push_up,deficit_push_up,db_floor_press,push;horizontal,high_press,yes,none,existing_unverified
box_jump,Box jump,box jumps,movement,gymnastics,legs,jump,box,intermediate,landing_1;step_down_control,power_impact,short;medium,height_or_step_up,BOX_JUMP,LANDING,LANDING,LOWER_LIMB,box_step_up,box_jump,air_bike,jump;impact,impact_quota;heavy_squat,no,none,existing_unverified
toes_to_bar,Toes-to-bar,ttb,movement,gymnastics,core,vertical_pull_core,bar,intermediate,dead_hang;hollow_arch;kipping_permission,dynamic_core_grip,short;medium,knee_raise_or_reps,TTB,BRACE;PULL,BRACE;PULL,UPPER_LIMB;LUMBAR,hanging_knee_raise,strict_toes_to_bar,v_up,core;grip,high_grip,no,none,existing_unverified
parallel_bar_dip,Parallel-bar dip,dip,movement,gymnastics,push,vertical_push,parallel_bars,intermediate,support_hold;push_2,strict_push,short;medium,band_or_range,DIP,PRESS,PRESS,SHOULDER_WRIST,box_dip,ring_dip,push_up,push;support,high_press,yes,none,existing_unverified
pistol_squat,Pistol squat,pistol,movement,gymnastics,legs,squat_unilateral,none,intermediate,squat_2;ankle_range;single_leg_control,unilateral_strength,short;medium,target_counterbalance,PISTOL,SQUAT,SQUAT,KNEE_HIP,box_pistol,weighted_pistol_squat,walking_lunge,squat;unilateral,heavy_squat,no,none,existing_unverified
v_up,V-up,v ups,movement,gymnastics,core,trunk_flexion,none,intermediate,hollow_hold,cyclical_core,short;medium,tuck_or_reps,V_UP,BRACE,BRACE,LUMBAR_HIP,tuck_up,toes_to_bar,dead_bug,core;trunk_flexion,ghd_volume,no,none,existing_unverified
wall_handstand_hold,Wall handstand hold,handstand hold wall,movement,gymnastics,push,inversion,wall,intermediate,overhead_2;wall_walk_permission,isometric_inversion,short,angle_or_seconds,WALL_HANDSTAND,HANDSTAND,HANDSTAND,SHOULDER_WRIST,pike_hold,handstand_push_up,pike_hold,inversion;push,high_press,no,none,existing_unverified
knees_to_elbows,Knees-to-elbows,k2e,movement,gymnastics,core,vertical_pull_core,bar,intermediate,dead_hang;hollow_arch,dynamic_core_grip,short;medium,knee_height_or_reps,K2E,BRACE;PULL,BRACE;PULL,UPPER_LIMB;LUMBAR,hanging_knee_raise,toes_to_bar,v_up,core;grip,high_grip,no,none,existing_unverified
burpee_box_jump,Burpee box jump,bbj,movement,gymnastics,full_body,sprawl_jump,box,intermediate,burpee;box_jump,power_metabolic,short;medium,step_burpee_or_step_up,BURPEE_BOX,LANDING,LANDING,LOWER_LIMB;WRIST_SHOULDER,burpee_step_up,burpee_box_jump,air_bike,full_body;impact,impact_quota;high_press,no,none,existing_unverified
barbell_thruster,Barbell thruster,thruster,movement,weightlifting,full_body,squat_press,barbell,intermediate,front_squat_2;push_press_2,cyclical_full_body,short;medium,load_or_db,THRUSTER,SQUAT;PRESS,SQUAT;PRESS,KNEE_HIP;SHOULDER_WRIST,db_thruster,barbell_thruster,wall_ball_shot,squat;overhead,heavy_squat;high_press,yes,benchmark_entity_separate,existing_unverified
power_clean,Power clean,clean de potencia,movement,weightlifting,olympic,hinge_pull_catch,barbell,intermediate,hinge_2;front_rack_1,explosive_lift,short;medium,hang_or_load,POWER_CLEAN,OLY,OLY,LUMBAR_WRIST_SHOULDER,hang_db_clean,squat_clean,db_snatch,olympic;hinge,heavy_hinge;high_grip,yes,none,existing_unverified
hang_power_snatch,Hang power snatch,snatch de potencia colgado,movement,weightlifting,olympic,hinge_pull_overhead,barbell,intermediate,hinge_2;overhead_2,explosive_lift,short;medium,db_or_load,HANG_POWER_SNATCH,OLY,OLY,LUMBAR_SHOULDER_WRIST,db_hang_snatch,squat_snatch,db_snatch,olympic;overhead,heavy_hinge;high_press,yes,none,existing_unverified
deadlift,Deadlift,peso muerto,movement,weightlifting,hinge,hinge,barbell,intermediate,hinge_2,strength_hinge,short;medium,load_or_trapbar,DEADLIFT,HINGE,HINGE,LUMBAR_HAMSTRING,kb_deadlift,deadlift,glute_bridge,hinge;strength,heavy_hinge;lumbar_high,yes,none,existing_unverified
overhead_squat,Overhead squat,ohs,movement,weightlifting,olympic,squat_overhead,barbell,intermediate,squat_2;overhead_2,stability_strength,short;medium,load_range_or_front_squat,OHS,SQUAT;PRESS,SQUAT;PRESS,KNEE_HIP;SHOULDER_WRIST,pvc_overhead_squat,squat_snatch,front_squat,overhead;squat,high_press;heavy_squat,yes,none,existing_unverified
sumo_deadlift_high_pull,Sumo deadlift high pull,sdhp,movement,weightlifting,full_body,hinge_pull,barbell_or_kettlebell,intermediate,hinge_2;pull_1,power_endurance,short;medium,load_or_kb,SDHP,HINGE;PULL,HINGE;PULL,LUMBAR_SHOULDER,kb_sumo_deadlift,sdhp,row_erg,hinge;pull,heavy_hinge;high_grip,yes,none,existing_unverified
kettlebell_swing_american,American kettlebell swing,american kb swing,movement,weightlifting,hinge,hinge_overhead,kettlebell,intermediate,hinge_2;overhead_2,power_endurance,short;medium,russian_or_load,KB_SWING_AM,HINGE;PRESS,HINGE,LUMBAR_SHOULDER,kettlebell_swing_russian,kettlebell_swing_american,row_erg,hinge;overhead,heavy_hinge;high_press,yes,none,existing_unverified
dumbbell_snatch,Dumbbell snatch,db snatch,movement,weightlifting,olympic,hinge_pull_overhead,dumbbell,intermediate,hinge_1;overhead_1,power_endurance,short;medium,hang_or_load,DB_SNATCH,OLY,OLY,LUMBAR_SHOULDER,db_hang_snatch,hang_power_snatch,air_bike,olympic;unilateral,heavy_hinge;high_press,yes,none,existing_unverified
clean_and_jerk,Clean and jerk,c&j,movement,weightlifting,olympic,hinge_catch_overhead,barbell,intermediate,clean_2;jerk_2,explosive_lift,short,load_or_complex_parts,CLEAN_JERK,OLY,OLY,LUMBAR_SHOULDER_WRIST,hang_power_clean_plus_push_press,clean_and_jerk,db_clean_and_jerk,olympic;overhead,heavy_hinge;high_press,yes,benchmark_entity_separate,existing_unverified
push_jerk,Push jerk,push jerk,movement,weightlifting,press,vertical_push_catch,barbell,intermediate,push_press_2;landing_1,power_press,short;medium,load_or_push_press,PUSH_JERK,PRESS,PRESS,SHOULDER_WRIST,push_press,split_jerk,landmine_press,push;overhead,high_press,yes,none,existing_unverified
back_squat,Back squat,sentadilla trasera,movement,weightlifting,squat,squat,barbell,intermediate,squat_2,strength_squat,short,load_or_box_squat,BACK_SQUAT,SQUAT,SQUAT,KNEE_HIP,goblet_squat,back_squat,front_squat,squat;strength,heavy_squat,yes,none,existing_unverified
hang_squat_clean,Hang squat clean,clean colgado en sentadilla,movement,weightlifting,olympic,hinge_pull_squat,barbell,intermediate,hang_power_clean;front_squat_2,explosive_lift,short,load_or_power_clean,HANG_SQUAT_CLEAN,OLY,OLY,LUMBAR_KNEE_WRIST,hang_power_clean,squat_clean,db_hang_clean,olympic;squat,heavy_hinge;heavy_squat,yes,none,existing_unverified
double_under,Double-under,double unders;du,movement,monostructural,cardio,cyclical_impact,jump_rope,intermediate,100_singles;landing_2,coordination_aerobic,short;medium,singles_or_time,DOUBLE_UNDER,LANDING,LANDING,LOWER_LIMB,single_under,triple_under,air_bike,mono;impact,impact_quota,no,benchmark_entity_separate,existing_unverified
burpee_broad_jump,Burpee broad jump,burpee salto largo,movement,gymnastics,full_body,sprawl_jump,space,intermediate,burpee;landing_2,power_metabolic,short;medium,step_or_distance,BURPEE_BROAD,LANDING,LANDING,LOWER_LIMB;WRIST_SHOULDER,burpee_step_forward,burpee_broad_jump,air_bike,full_body;impact,impact_quota;high_press,no,none,existing_unverified
shuttle_run,Shuttle run,carrera lanzadera,movement,monostructural,cardio,cyclical_impact,marked_space,intermediate,landing_1;change_direction_1,speed_endurance,short;medium,distance_or_pace,SHUTTLE,PACING,LANDING,LOWER_LIMB,walk_shuttle,shuttle_run,air_bike,mono;impact;change_direction,impact_quota,no,none,media_missing
ghd_sit_up,GHD sit-up,ghd situp,movement,gymnastics,core,trunk_flexion,ghd,intermediate,core_2;ghd_familiarized,cyclical_core,short;medium,range_or_abmat,GHD_SITUP,BRACE,BRACE,LUMBAR_HIP,abmat_sit_up,ghd_sit_up,v_up,core;ghd,ghd_volume;lumbar_high,no,none,existing_unverified
hollow_rock,Hollow rock,hollow rocks,movement,accessory,core,brace,none,intermediate,hollow_hold,cyclical_core,short,lever_or_reps,HOLLOW_ROCK,BRACE,BRACE,LUMBAR,hollow_hold,v_up,dead_bug,core,ghd_volume,no,none,existing_unverified
ghd_hip_extension,GHD hip extension,extension cadera ghd,movement,accessory,hinge,hip_extension,ghd,intermediate,hinge_2;ghd_familiarized,posterior_accessory,short,range_or_reps,GHD_HIP,HINGE,HINGE,LUMBAR_HAMSTRING,glute_bridge,ghd_hip_extension,romanian_deadlift,hinge;accessory,heavy_hinge;lumbar_high,yes,none,existing_unverified
ring_support_hold,Ring support hold,soporte en anillas,progression,gymnastics,push,support,rings,intermediate,parallel_support;shoulder_stability,isometric_support,short,feet_assist_or_seconds,RING_SUPPORT,PRESS,PRESS,SHOULDER_WRIST,parallel_bar_support,ring_dip,front_plank,support;push,high_press,no,none,existing_unverified
farmer_carry,Farmer carry,paseo granjero,movement,accessory,carry,carry,dumbbells_or_kettlebells,intermediate,brace_1,grip_and_trunk,short;medium,load_distance,FARMER_CARRY,BRACE,BRACE,UPPER_LIMB;LUMBAR,suitcase_carry,heavy_farmer_carry,sled_push,carry;grip,high_grip;lumbar_high,yes,none,existing_unverified
turkish_get_up,Turkish get-up,tgu,movement,accessory,full_body,get_up,kettlebell_or_dumbbell,intermediate,shoulder_stability;floor_transfer,control_strength,short,partial_or_load,TGU,BRACE;PRESS,BRACE;PRESS,SHOULDER_WRIST;KNEE_HIP,half_get_up,turkish_get_up,front_rack_carry,control;overhead,high_press,no,none,existing_unverified
bar_muscle_up,Bar muscle-up,bar mu,movement,gymnastics,pull_push,vertical_pull_transition,bar,advanced,8_strict_pull;C2B;straight_bar_dip;kipping_permission,high_skill_power,short;medium,band_or_C2B,BAR_MU,MUSCLE_UP,MUSCLE_UP,UPPER_LIMB,transition_drill,strict_bar_muscle_up,chest_to_bar_pull_up,high_skill;grip,high_grip;high_press,no,benchmark_entity_separate,existing_unverified
ring_muscle_up,Ring muscle-up,ring mu,movement,gymnastics,pull_push,vertical_pull_transition,rings,advanced,8_strict_pull;5_ring_dip;false_grip_transition,high_skill_power,short;medium,low_ring_transition,RING_MU,MUSCLE_UP,MUSCLE_UP,UPPER_LIMB,low_ring_transition,strict_ring_muscle_up,strict_pull_up_plus_ring_dip,high_skill;grip,high_grip;high_press,no,benchmark_entity_separate,existing_unverified
handstand_push_up,Handstand push-up,hspu,movement,gymnastics,push,inversion_push,wall,advanced,wall_handstand_30s;strict_press_capacity,high_skill_push,short;medium,pike_or_abmat,HSPU,HANDSTAND,HANDSTAND,SHOULDER_WRIST,pike_push_up,deficit_handstand_push_up,dumbbell_strict_press,inversion;push,high_press,no,benchmark_entity_separate,existing_unverified
handstand_walk,Handstand walk,hsw,movement,gymnastics,push,inversion_locomotion,space,advanced,wall_handstand;weight_shift;safe_exit,high_skill_control,short,distance_or_wall_walk,HSW,HANDSTAND,HANDSTAND,SHOULDER_WRIST,wall_walk,handstand_walk,bear_crawl,inversion;locomotion,high_press,no,benchmark_entity_separate,existing_unverified
rope_climb,Rope climb,rope climb 15ft,movement,gymnastics,pull,vertical_pull_climb,rope,advanced,strict_pull_5;foot_lock;safe_descent,high_skill_grip,short,height_or_pulls,ROPE_CLIMB,PULL,PULL,UPPER_LIMB,seated_rope_pull,rope_climb,sled_pull,pull;grip,high_grip,no,benchmark_entity_separate,media_missing
deficit_handstand_push_up,Deficit handstand push-up,deficit hspu,movement,gymnastics,push,inversion_push,wall_and_plates,advanced,10_strict_HSPU;safe_exit,very_high_skill_push,short,deficit_or_standard,DEFICIT_HSPU,HANDSTAND,HANDSTAND,SHOULDER_WRIST,handstand_push_up,freestanding_handstand_push_up,dumbbell_strict_press,inversion;push,high_press,no,none,existing_unverified
strict_ring_muscle_up,Strict ring muscle-up,strict muscle-up,movement,gymnastics,pull_push,vertical_pull_transition,rings,advanced,strict_pull_8;ring_dip_5;false_grip,very_high_skill_strength,short,low_ring_or_assist,STRICT_RING_MU,MUSCLE_UP,MUSCLE_UP,UPPER_LIMB,low_ring_transition,strict_ring_muscle_up,strict_pull_up_plus_ring_dip,high_skill;grip,high_grip;high_press,no,none,existing_unverified
weighted_pistol_squat,Weighted pistol squat,weighted pistol,movement,gymnastics,legs,squat_unilateral,dumbbell_or_kettlebell,advanced,pistol_5_each,unilateral_strength,short,load_or_unweighted,WEIGHTED_PISTOL,SQUAT,SQUAT,KNEE_HIP,pistol_squat,weighted_pistol_squat,walking_lunge,squat;unilateral,heavy_squat,yes,none,existing_unverified
l_sit,L-sit,l sit,movement,gymnastics,core,support_core,parallettes_or_rings,advanced,support_hold;compression,isometric_core,short,tuck_or_seconds,L_SIT,BRACE,BRACE,SHOULDER_WRIST;HIP,tuck_support,l_sit,hollow_hold,core;support,high_press,no,none,existing_unverified
burpee_bar_muscle_up,Burpee bar muscle-up,burpee bar mu,composite,gymnastics,full_body,sprawl_pull_transition,bar,advanced,burpee;bar_muscle_up,very_high_skill_metabolic,short,reps_or_separate_components,BURPEE_BAR_MU,MUSCLE_UP,MUSCLE_UP,UPPER_LIMB;LOWER_LIMB,burpee_pull_up,burpee_bar_muscle_up,burpee_plus_c2b,high_skill;full_body,high_grip;high_press;impact_quota,no,none,existing_unverified
squat_snatch,Squat snatch,full snatch;squat snatch,movement,weightlifting,olympic,hinge_pull_overhead_squat,barbell,advanced,hang_power_snatch;overhead_squat_2,high_skill_explosive,short,load_or_power_variant,SQUAT_SNATCH,OLY,OLY,LUMBAR_SHOULDER_WRIST;KNEE,hang_power_snatch,squat_snatch,dumbbell_snatch,olympic;overhead,heavy_hinge;high_press;heavy_squat,yes,benchmark_entity_separate,existing_unverified
squat_clean,Squat clean,clean en sentadilla,movement,weightlifting,olympic,hinge_pull_squat,barbell,advanced,power_clean;front_squat_2,high_skill_explosive,short,load_or_power_variant,SQUAT_CLEAN,OLY,OLY,LUMBAR_KNEE_WRIST,hang_squat_clean,squat_clean,dumbbell_clean,olympic;squat,heavy_hinge;heavy_squat,yes,none,existing_unverified
devil_press,Devil press,heavy devil press,movement,weightlifting,full_body,sprawl_hinge_overhead,dumbbells,advanced,burpee;db_snatch_2,high_metabolic_power,short;medium,load_or_step_burpee,DEVIL_PRESS,BRACE;PRESS,LANDING;PRESS,WRIST_SHOULDER;LUMBAR,burpee_db_deadlift,devil_press,air_bike,full_body;overhead,high_press;heavy_hinge;impact_quota,no,none,existing_unverified
cluster,Cluster,clean thruster,movement,weightlifting,full_body,clean_squat_press,barbell,advanced,squat_clean;thruster,high_metabolic_power,short,load_or_separate,CLUSTER,OLY,OLY,LUMBAR_KNEE_SHOULDER,db_clean_thruster,cluster,wall_ball_shot,olympic;squat;overhead,heavy_hinge;heavy_squat;high_press,yes,none,existing_unverified
overhead_walking_lunge,Overhead walking lunge,overhead lunge,movement,weightlifting,legs,lunge_overhead,barbell_or_dumbbells,advanced,lunge_2;overhead_2,stability_strength,short;medium,front_rack_or_load,OH_LUNGE,SQUAT;PRESS,SQUAT;PRESS,KNEE_HIP;SHOULDER_WRIST,front_rack_lunge,overhead_walking_lunge,walking_lunge,lunge;overhead,high_press;heavy_squat,yes,none,existing_unverified
hang_squat_snatch,Hang squat snatch,snatch colgado en sentadilla,movement,weightlifting,olympic,hinge_pull_overhead_squat,barbell,advanced,hang_power_snatch;overhead_squat_2,high_skill_explosive,short,load_or_power_variant,HANG_SQUAT_SNATCH,OLY,OLY,LUMBAR_SHOULDER_WRIST;KNEE,hang_power_snatch,squat_snatch,dumbbell_snatch,olympic;overhead,heavy_hinge;high_press;heavy_squat,yes,none,existing_unverified
split_jerk,Split jerk,jerk en tijera,movement,weightlifting,olympic,vertical_push_split,barbell,advanced,push_jerk;split_landing_2,high_skill_power,short,load_or_push_jerk,SPLIT_JERK,PRESS;OLY,PRESS;OLY,SHOULDER_WRIST;KNEE_HIP,push_jerk,split_jerk,landmine_press,overhead;power,high_press,yes,none,existing_unverified
triple_under,Triple-under,triple unders,movement,monostructural,cardio,cyclical_impact,jump_rope,advanced,50_DU;landing_3,very_high_coordination,short,double_under_or_reps,TRIPLE_UNDER,LANDING,LANDING,LOWER_LIMB,double_under,triple_under,air_bike,mono;impact,impact_quota,no,none,existing_unverified
strict_toes_to_bar,Strict toes-to-bar,strict ttb,movement,gymnastics,core,vertical_pull_core,bar,advanced,strict_pull_5;compression,strict_core_grip,short,reps_or_knee_raise,STRICT_TTB,BRACE;PULL,BRACE;PULL,UPPER_LIMB;LUMBAR,strict_knee_raise,strict_toes_to_bar,v_up,core;grip,high_grip,no,none,existing_unverified
weighted_ring_dip,Weighted ring dip,weighted ring dips,movement,gymnastics,push,support_push,rings_and_load,advanced,ring_dip_5;stable_support,high_strength_push,short,load_or_unweighted,WEIGHTED_RING_DIP,PRESS,PRESS,SHOULDER_WRIST,parallel_bar_dip,weighted_ring_dip,push_up,push;support,high_press,yes,none,existing_unverified
wall_walk,Wall walk,wall walk,movement,gymnastics,push,inversion,wall,intermediate,push_2;overhead_2,controlled_inversion,short,range_or_reps,WALL_WALK,HANDSTAND,HANDSTAND,SHOULDER_WRIST,incline_wall_walk,wall_handstand_hold,bear_crawl,inversion;push,high_press,no,none,existing_unverified
sled_push,Sled push,empuje de trineo,movement,weightlifting,carry,horizontal_push,sled_and_surface,intermediate,brace_1;leg_drive,strength_endurance,short;medium,load_distance_surface,SLED_PUSH,BRACE,BRACE,KNEE_HIP;CARDIO,light_sled_push,sled_push,air_bike,carry;legs,heavy_squat,no,none,media_missing
